cluster,gene,score,pvals_adj,logfoldchanges
2,Kcnd2,82.65982,0.0,4.5859637
2,Trpm3,82.5818,0.0,4.7394032
2,Nav3,82.22837,0.0,4.354809
2,Rgs7,82.06627,0.0,4.169264
2,Tshz2,81.880844,0.0,4.086655
2,Cacna1c,81.68682,0.0,4.217302
2,Prkce,81.55905,0.0,3.7044947
2,Slc35f1,81.09418,0.0,3.679675
2,Kcnip4,80.68122,0.0,3.506024
3,Adcy2,147.69121,0.0,7.3259273
3,Cacna1e,142.98091,0.0,7.364574
3,Prkg1,140.29742,0.0,6.9365673
3,Pbx3,139.71991,0.0,6.8836904
3,Cacna2d1,131.76779,0.0,7.201926
3,Grin2a,130.55945,0.0,6.3093834
3,Slit3,130.42773,0.0,7.510667
3,Dab1,130.25488,0.0,6.3350763
3,Meis1,127.81628,0.0,6.1784396
3,Dock4,126.55256,0.0,6.054701
3,Kif26b,125.79694,0.0,5.9232497
3,Dgkb,124.3516,0.0,6.0609736
3,Astn2,124.16286,0.0,5.883386
3,Fgf13,123.45088,0.0,6.4437184
3,Gap43,123.245605,0.0,6.060827
3,Ppp2r2b,122.01202,0.0,5.5420933
3,Ahi1,121.620056,0.0,5.6025715
3,Fbn2,121.26733,0.0,7.385971
3,Creb5,121.080734,0.0,7.0764995
3,Celf4,118.83116,0.0,5.8241935
3,Scn9a,118.1333,0.0,5.4500594
3,Slc44a5,117.466255,0.0,5.9410887
3,Kcnd3,115.58258,0.0,5.811427
3,Pde8b,114.72302,0.0,5.178851
3,Slc5a7,114.72105,0.0,5.992999
3,Kitl,114.30149,0.0,6.613686
3,Nrg1,113.50382,0.0,4.7267356
3,Kcnt2,113.04922,0.0,5.974234
3,Zbtb7c,111.998245,0.0,6.30661
3,Ttc28,111.56332,0.0,5.0754833
3,Slit2,111.39495,0.0,5.980351
3,Map1b,111.23336,0.0,5.307359
3,Nwd2,110.988594,0.0,5.9187765
3,Usp29,110.717636,0.0,5.3947372
3,Gnas,110.28269,0.0,5.2810526
3,Apba1,109.36044,0.0,5.0932612
3,Gm29683,109.20864,0.0,7.300728
3,Cacna1b,109.08609,0.0,4.8698378
3,Jazf1,108.98185,0.0,4.93456
3,Sema6d,106.54054,0.0,5.555963
3,Fign,106.31278,0.0,5.693005
3,Gramd1b,105.892654,0.0,4.8027635
3,Klhl1,105.8493,0.0,5.681497
3,Ncam1,104.7615,0.0,4.8706965
3,Nav2,104.27956,0.0,5.057568
3,Grb10,103.96691,0.0,4.827567
3,Pitpnc1,103.50191,0.0,4.9671717
3,Prima1,102.92906,0.0,5.735436
3,Kcnq3,102.3079,0.0,5.1454587
3,Stac,101.44394,0.0,5.4364443
4,Nkain2,103.237656,0.0,5.5904756
4,Slc24a2,101.98925,0.0,7.719132
4,Pde4b,101.41953,0.0,7.035329
4,St18,98.95159,0.0,12.059189
4,Mbp,97.9136,0.0,10.941705
4,Prr5l,95.70413,0.0,12.169512
4,Pcdh9,94.50434,0.0,3.5250263
4,Tmeff2,91.722435,0.0,6.758944
4,Qk,91.43869,0.0,7.595974
4,Plcl1,91.351944,0.0,7.715844
4,St6galnac3,91.32377,0.0,8.193103
4,Magi2,88.26776,0.0,4.0767317
4,Dock10,87.18048,0.0,7.856229
4,Phlpp1,87.1002,0.0,7.0117297
4,Rnf220,86.921844,0.0,9.248903
4,Frmd5,83.96188,0.0,5.5677004
4,Edil3,83.70366,0.0,6.371336
4,Plp1,82.740135,0.0,9.527194
4,Zeb2,81.55584,0.0,7.8682795
4,Pex5l,79.12793,0.0,6.6740375
4,Map7,77.88313,0.0,7.1422935
4,Ctnna3,77.47161,0.0,5.8263063
4,Mast4,72.98688,0.0,5.238776
4,Prickle2,70.789474,0.0,5.305915
